,index,artist_id,artist_name,album_id,album_title,release_date
0,0,1168,보아 (BoA),150211,The Face (일본발매앨범),2008.02.27
1,1,1168,보아 (BoA),150563,Be With You. (일본발매싱글),2008.02.20
2,2,1168,보아 (BoA),8032506,Lose Your Mind (일본발매싱글),2007.12.12
3,3,1168,SMTOWN,8032198,07 Winter SMTown - Only Love,2007.12.07
4,4,1168,Various Artists,8031804,엠 (M),2007.11.23
5,5,1168,보아 (BoA),8030357,Love Letter (일본발매싱글),2007.09.26
6,6,1168,보아 (BoA),8029894,M,2007.09.13
7,7,1168,보아 (BoA),8026475,Sweet Impact (일본발매싱글),2007.05.02
8,8,1168,보아 (BoA),8024385,Made In Twenty (20) (일본발매앨범),2007.01.24
9,9,1168,SMTOWN,8023422,2006 Winter SMTown - Snow Dream,2006.12.12
10,10,1168,Various Artists,8022840,사랑따윈 필요없어 OST,2006.11.13
11,11,1168,보아 (BoA),8023219,Winter Love (일본발매싱글),2006.11.01
12,12,1168,보아 (BoA),8022577,Key Of Heart (일본발매싱글),2006.10.25
13,13,1168,보아 (BoA),8022012,Key Of Heart (Limited Single),2006.09.21
14,14,1168,보아 (BoA),8017443,七色の明日 ~Brand New Beat~/ Your Color (일본발매싱글),2006.04.05
15,15,1168,보아 (BoA),8016076,Outgrow (일본발매앨범),2006.02.15
16,16,1168,보아 (BoA),8015334,Everlasting,2006.01.18
17,17,1168,보아 (BoA),8015333,Everlasting (일본발매싱글),2006.01.18
18,18,1168,보아 (BoA),8014099,Merry Christmas From BoA,2005.12.07
19,19,1168,보아 (BoA),8013566,抱きしめる (일본발매싱글),2005.11.23
20,20,1168,보아 (BoA),8010935,Make A Secret (일본발매싱글),2005.08.31
21,21,1168,보아 (BoA),8009228,Girls On Top,2005.06.24
22,22,1168,보아 (BoA),8007510,Do The Motion (일본발매싱글),2005.03.31
23,23,1168,Various Artists,8007400,Best Of Inuyasha 百花繞亂(백화요란) - 이누야샤 테마전집,2005.03.22
24,24,1168,보아 (BoA),8006821,Best Of Soul (일본발매앨범),2005.02.02
25,25,1168,보아 (BoA),8003378,Merry-Chri,2004.12.20
26,26,1168,보아 (BoA),8003494,メリクリ (Merry-Chri) (일본발매싱글),2004.12.01
27,27,1168,보아 (BoA),8001238,Quincy / コノヨノシルシ (일본발매싱글),2004.09.01
28,28,1168,보아 (BoA),34891,My Name,2004.06.11
29,29,1168,보아 (BoA),34356,Love & Honesty (일본발매앨범),2004.04.06
30,30,1168,보아 (BoA),34086,Listen To My Heart (일본발매앨범),2004.03.03
31,31,1168,보아 (BoA),34064,Valenti (일본발매앨범),2004.02.25
32,32,1168,보아 (BoA),8001229,Be The One (일본발매싱글),2004.02.11
33,33,1168,보아 (BoA),8000015,Rock With You,2003.12.05
34,34,1168,보아 (BoA),33297,Shine We Are,2003.12.04
35,35,1168,보아 (BoA),8001236,Rock With You (일본발매싱글),2003.12.03
36,36,1168,보아 (BoA),32946,Double [The 1st BoA Single Album],2003.10.23
37,37,1168,보아 (BoA),8001231,Double (일본발매싱글),2003.10.22
38,38,1168,보아 (BoA),8002668,Next World (일본발매앨범),2003.08.27
39,39,1168,보아 (BoA),31529,Atlantis Princess,2003.05.31
40,40,1168,보아 (BoA),8001240,Shine We Are! ／ Earthsong (일본발매싱글),2003.05.14
41,41,1168,보아 (BoA),8001233,Jewel Song (일본발매싱글),2002.12.11
42,42,1168,보아 (BoA),16713,Miracle,2002.09.24
43,43,1168,보아 (BoA),8001226,奇蹟／No.1 (일본발매싱글),2002.09.19
44,44,1168,보아 (BoA),8001237,Valenti (일본발매싱글),2002.08.28
45,45,1168,보아 (BoA),8001235,Peace B. Remixes (일본발매앨범),2002.08.07
46,46,1168,보아 (BoA),8001230,Don't Start Now (일본발매싱글),2002.05.29
47,47,1168,보아 (BoA),128904,No.1 (일본발매앨범),2002.04.12
48,48,1168,보아 (BoA),16305,No.1,2002.04.12
49,49,1168,보아 (BoA),8001232,Every Heart-ミンナノキモチ- (일본발매싱글),2002.03.13
50,50,1168,보아 (BoA),8001234,Listen To My Heart (일본발매싱글),2002.01.17
51,51,1168,보아 (BoA),8001241,The Meaning Of Peace (duet with Koda Kumi) (일본발매싱글),2001.12.19
52,52,1168,보아 (BoA),8001227,氣持ちは傳わる (일본발매싱글),2001.12.05
53,53,1168,SMTOWN,8000388,Winter Vacation In SMTown.com - Angel Eyes,2001.12
54,54,1168,보아 (BoA),8001228,Amazing Kiss (일본발매싱글),2001.07.25
55,55,1168,보아 (BoA),8001239,ID; Peace B (일본발매싱글),2001.05.30
56,56,1168,보아 (BoA),1967,Don't Start Now-Jumping Into The World,2001.03.05
